beam no,beam center ra [deg],beam center dec [deg],SB
1,330.6558625,2.720561111111111,2212+04A
2,331.5574125,2.723158333333333,2212+04A
3,332.458575,2.7246,2212+04A
4,333.3595708333333,2.7248888888888887,2212+04A
5,334.260625,2.724022222222222,2212+04A
6,335.1619541666667,2.722002777777778,2212+04A
7,331.10519583333337,3.5016841666666667,2212+04A
8,332.00719166666664,3.503702777777778,2212+04A
9,332.90891250000004,3.5045694444444444,2212+04A
10,333.8105791666666,3.5042805555555554,2212+04A
11,334.71240833333337,3.502838888888889,2212+04A
12,335.614625,3.500240277777778,2212+04A
13,330.65172916666666,4.279705555555555,2212+04A
14,331.5547833333334,4.282305555555555,2212+04A
15,332.45744583333334,4.283752222222223,2212+04A
16,333.3599458333333,4.284041111111111,2212+04A
17,334.26250416666664,4.283172222222222,2212+04A
18,335.1653333333333,4.28115,2212+04A
19,331.10105833333336,5.060544444444444,2212+04A
20,332.00489166666665,5.062569444444445,2212+04A
21,332.9084541666667,5.063436111111111,2212+04A
22,333.81195833333334,5.063147222222222,2212+04A
23,334.71562916666664,5.061702777777778,2212+04A
24,335.61968333333334,5.0591,2212+04A
25,330.6457416666667,5.838563888888888,2212+04A
26,331.55097083333334,5.841169444444445,2212+04A
27,332.4558125,5.842616666666666,2212+04A
28,333.3604916666667,5.842908333333334,2212+04A
29,334.265225,5.842038888888889,2212+04A
30,335.17023333333333,5.840011111111111,2212+04A
31,331.0953875,6.619686111111111,2212+04A
32,332.00174166666665,6.621716666666667,2212+04A
33,332.907825,6.622588888888889,2212+04A
34,333.8138458333333,6.6222972222222225,2212+04A
35,334.72003750000005,6.620847222222222,2212+04A
36,335.62661249999996,6.618236388888889,2212+04A
1,24.144225,-29.8894,0148-28
2,25.182820833333334,-29.90662777777778,0148-28
3,26.221241666666668,-29.916197222222223,0148-28
4,27.25958333333333,-29.91811138888889,0148-28
5,28.29795,-29.912369444444444,0148-28
6,29.336441666666666,-29.898972222222223,0148-28
7,24.681483333333333,-29.119447222222224,0148-28
8,25.7120125,-29.13273611111111,0148-28
9,26.74240833333333,-29.138430555555555,0148-28
10,27.772775,-29.136533333333333,0148-28
11,28.803225,-29.127041666666667,0148-28
12,29.833858333333335,-29.109952777777778,0148-28
13,24.187195833333334,-28.3307,0148-28
14,25.210175,-28.347661111111112,0148-28
15,26.23296666666667,-28.357080555555555,0148-28
16,27.255675,-28.358963888888887,0148-28
17,28.27840833333333,-28.35331111111111,0148-28
18,29.301279166666667,-28.340122222222224,0148-28
19,24.715275000000002,-27.56086388888889,0148-28
20,25.7307875,-27.573955555555557,0148-28
21,26.7461625,-27.57956666666667,0148-28
22,27.76150833333333,-27.577697222222223,0148-28
23,28.77694166666667,-27.568346944444443,0148-28
24,29.792566666666666,-27.551509166666666,0148-28
25,24.226866666666666,-26.772230555555556,0148-28
26,25.235429166666666,-26.788952777777777,0148-28
27,26.243787499999996,-26.798241666666666,0148-28
28,27.252066666666668,-26.80009972222222,0148-28
29,28.260370833333333,-26.794525,0148-28
30,29.268816666666666,-26.781522222222222,0148-28
31,24.746454166666666,-26.00196138888889,0148-28
32,25.748112499999998,-26.014883333333334,0148-28
33,26.74962916666667,-26.020419444444446,0148-28
34,27.7511125,-26.018575,0148-28
35,28.7526875,-26.009344444444444,0148-28
36,29.754466666666666,-25.992727777777777,0148-28
1,27.4252125,-15.944283333333333,0200-14
2,28.3617625,-15.95230138888889,0200-14
3,29.297958333333334,-15.956752777777778,0200-14
4,30.234008333333332,-15.957641666666667,0200-14
5,31.17010416666667,-15.954972222222223,0200-14
6,32.106454166666666,-15.948736111111112,0200-14
7,27.901512500000003,-15.169095555555556,0200-14
8,28.834316666666663,-15.175302777777778,0200-14
